DateTime,Date,Hour,Entrances
2022-10-17 18:00:00,2022-10-17,18,445
2022-10-17 19:00:00,2022-10-17,19,368
2022-10-17 20:00:00,2022-10-17,20,368
2022-10-17 21:00:00,2022-10-17,21,288
2022-10-17 22:00:00,2022-10-17,22,145
2022-10-17 23:00:00,2022-10-17,23,20
2022-10-18 05:00:00,2022-10-18,5,1
2022-10-18 06:00:00,2022-10-18,6,215
2022-10-18 07:00:00,2022-10-18,7,151
2022-10-18 08:00:00,2022-10-18,8,234
2022-10-18 09:00:00,2022-10-18,9,312
2022-10-18 10:00:00,2022-10-18,10,284
2022-10-18 11:00:00,2022-10-18,11,376
2022-10-18 12:00:00,2022-10-18,12,284
2022-10-18 13:00:00,2022-10-18,13,251
